Depth (ft),Pressure(Psi),Test flow rate(MCF/D),Compressibility,Density of gas,Tubing ID(in),Casing ID(in),Tubing OD(in),Flow Area,Density of Liquid,Temperature,Surface Tension
7810,2823,3863,6.632702497,1.188796126,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
7810,2862,3024,2.834762423,2.819940749,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
7346,2884,3917,1.399526887,5.755738184,1.995,,,0.02171048359,0.3466666667,135,0.025
8840,3025,3517,1.689465408,5.001071871,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3092,3351,0.9410468735,9.17730679,2.441,,,0.03250268629,0.3466666667,135,0.025
8840,3212,2547,2.15456775,4.163920247,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3245,2503,1.668682284,5.431603595,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,416",3280,4095,2.527830727,3.624206008,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,416",3295,3264,2.434498397,3.780358152,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,417",3330,2915,1.619565619,5.742919198,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3338,2261,2.095584733,4.449058616,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,416",3340,2611,3.140900403,2.970156426,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,200",3434,2926,1.092960118,8.775724829,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,390",3455,2769,1.406527678,6.860990059,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,426",3472,2572,1.068636161,9.074796012,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,426",3525,1792,1.373223258,7.169766167,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,417",3540,1814,2.04370137,4.83807779,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,390",3556,2069,0.6122174142,16.22344551,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,200",3607,1525,1.046561663,9.626498369,1.995,,,0.02171048359,0.3466666667,135,0.025
8690,3615,3890,1.005380011,10.04303732,2.441,,,0.03250268629,0.3466666667,135,0.025
8690,3644,3182,0.994397077,10.23541722,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,340",3660,3726,0.9158713634,11.16178432,1.995,,,0.02171048359,0.3466666667,135,0.025
8690,3665,2542,1.366424762,7.491611994,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,340",3773,2494,0.9359933781,11.25903191,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4575,7792,0.7348681376,17.38876354,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4786,6221,1.140230011,11.72376887,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4931,4830,1.008854886,13.65190702,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,5056,3376,1.006770725,14.02695836,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,850",7405,6946,2.169623323,9.532959394,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,850",7950,4896,2.296646437,9.668520178,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,850",8215,3472,1.323744775,17.33366224,2.441,,,0.03250268629,0.3466666667,135,0.025
